,,,,,12/11-12/19,,1/30/20,,2/7/20,,3/3/20,
,genotype,acclimation group,ID,date planted,health,bite,health,bite,health,bite,health,bite
3AZ1,AZ,3,1,12/12/19,1,b,,,,,,
3AZ4,AZ,3,2,12/12/19,1,b,,,,,,
3AZ3,AZ,3,3,12/12/19,1,b,,,,,,
0AZ10,AZ,3,4,12/12/19,1,b,1,b,1,b,1,b 
1AZ5,AZ,3,5,12/12/19,1,b,,,,,,
2AZ21,AZ,4,6,12/12/19,n/a,n/a,,,,,,
2AZ1,AZ,4,7,12/12/19,n/a,n/a,,,,,,
2AZ2,AZ,4,8,12/12/19,1,b,,,,,,
2AZ3,AZ,4,9,12/12/19,1,b,,,,,,
2AZ7,AZ,4,10,12/12/19,1,b,,,,,,
9AZ2,AZ,5,11,12/12/19,,,,,,,,
9AZ5,AZ,5,12,12/12/19,,,,,,,,
9AZ9,AZ,5,13,12/12/19,,,,,,,,
9AZ81,AZ,5,14,12/12/19,1,b,,,,,,
9AZ4,AZ,5,15,12/12/19,1,b,,,,,,
6BY17,BY,1,1,12/11/19,1,a,,,,,,
6BY18,BY,1,2,12/11/19,1,b,,,,,,
6BY20,BY,1,3,12/11/19,1,b,,,,,,
8BY21,BY,1,4,12/11/19,,,,,,,,
8BY24,BY,1,5,12/11/19,1,b,1,b,2,b,2,b
8BY25,,,,,1,b,,,,,,
2BY7,BY,2,6,12/11/19,1,b,,,,,,
2BY8,BY,2,7,12/11/19,,,,,,,,
2BY10,BY,2,8,12/11/19,1,b,1,b,1,b,1,b
4BY14,BY,2,9,12/11/19,,,,,,,,
4BY15,BY,2,10,12/11/19,1,b ,,,,,,
0BY48,BY,3,11,12/11/19,1,a,,,,,,
0BY47,BY,3,12,12/11/19,1,b,3,a,3,a,3,a
0BY2,BY,3,13,12/11/19,1,b,1,b,1,b,1,b
0BY5,BY,3,14,12/11/19,,,,,,,,
0BY4,BY,3,15,12/11/19,1,b,,,,,,
2BY22,BY,4,16,12/11/19,1,b,,,,,,
2BY1,BY,4,17,12/11/19,1,b,,,,,,
2BY11,BY,4,18,12/11/19,1,b,1,b,1,b,1,b 
2BY4,BY,4,19,12/11/19,,,,,,,,
2BY13,BY,4,20,12/11/19,1,b,,,,,,
9BY38,BY,5,21,12/11/19,1,b,,,,,,
9BY33,BY,5,22,12/11/19,,,,,,,,
9BY25,BY,5,23,12/11/19,1,b,,,,,,
9BY26,BY,5,24,12/11/19,,,,,,,,
9BY43,BY,5,25,12/11/19,1,b,,,,,,
6CX16,CX,1,1,12/11/19,1,b,,,,,,
6CX18,CX,1,2,12/11/19,1,b,,,1,b,1,b
6CX19,CX,1,3,12/11/19,1,b,,,,,,
8CX21,CX,1,4,12/11/19,1,b,2,b,2,b,,
8CX25,CX,1,5,12/11/19,,,,,,,,
2CX6,CX,2,6,12/11/19,1,a,,,1,b,1,b
2CX8,CX,2,7,12/11/19,1,b,,,,,,
2CX10,CX,2,8,12/11/19,1,b,1,b,2,b,,
4CX11,CX,2,9,12/11/19,,,,,,,,
4CX12,CX,2,10,12/11/19,1,b,,,,,,
0CX49,CX,3,11,12/11/19,1,b,,,,,,
0CX5,CX,3,12,12/11/19,1,b,,,,,,
0CX50,CX,3,13,12/11/19,1,b,1,b,,,,
0CX46,CX,3,14,12/11/19,1,b,3,?,,,,
0CX4,CX,3,15,12/11/19,,,,,,,,
2CX20,CX,4,16,12/11/19,1,b,,,2,b,2,b
2CX18,CX,4,17,12/11/19,1,b,,,,,,
2CX13,CX,4,18,12/11/19,1,b,,,,,,
2CX12,CX,4,19,12/11/19,1,b,,,,,,
2CX11,CX,4,20,12/11/19,1,b,,,,,,
9CX3,CX,5,21,12/11/19,1,b,1,b,1,b,,
9CX6,CX,5,22,12/11/19,1,b,,,,,,
9CX2,CX,5,23,12/11/19,,,,,,,,
9CX25,CX,5,24,12/11/19,1,b,,,,,,
9CX5,CX,5,25,12/11/19,1,b,,,,,,
6DW19,DW,1,1,12/11/19,1,b,,,,,,
8DW21,DW,1,2,12/11/19,1,b,,,,,,
8DW23,DW,1,3,12/11/19,1,b,,,,,,
8DW24,DW,1,4,12/11/19,1,a,,,,,,
8DW25,DW,1,5,12/11/19,1,b,2,b,2,b,2,b
2DW6,DW,2,6,12/11/19,1,b,,,,,,
2DW7,DW,2,7,12/11/19,1,b,,,,,,
4DW11,DW,2,8,12/11/19,1,b,,,,,,
4DW14,DW,2,9,12/11/19,1,b,,,,,,
4DW15,DW,2,10,12/11/19,2,a,,,2,a,2,a
0DW2,DW,3,11,12/11/19,n/a,n/a,,,,,,
0DW5,DW,3,12,12/11/19,1,b,,,,,,
0DW46,DW,3,13,12/11/19,1,b,,,,,,
0DW4,DW,3,14,12/11/19,1,b,,,,,,
0DW48,DW,3,15,12/11/19,1,a,,,1,b,2,b
2DW3,DW,4,16,12/11/19,2,b,,,,,,
2DW34,DW,4,17,12/11/19,1,b,,,,,,
2DW40,DW,4,18,12/11/19,1,a,,,,,,
2DW44,DW,4,19,12/11/19,1,b,,,,,,
2DW39,DW,4,20,12/11/19,1,b,,,2,b,2,b
9DW31,DW,5,21,12/11/19,1,b,,,,,,
9DW34,DW,5,22,12/11/19,2,a,,,,,,
9DW37,DW,5,23,12/11/19,1,a,,,,,,
9DW32,DW,5,24,12/11/19,1,b,,,,,,
9DW1,DW,5,25,12/11/19,1,b,,,1,b,2,b
6EV16,EV,1,1,12/11/19,1,b,2,b,,,,
6EV18,EV,1,2,12/11/19,n/a,n/a,,,,,,
6EV19,EV,1,3,12/11/19,2,b,,,,,,
6EV20,EV,1,4,12/11/19,1,b,1,b,1,b,1,b
8EV24,EV,1,5,12/11/19,1,b,,,,,,
2EV6,EV,2,6,12/11/19,1,b,,,,,,
2EV10,EV,2,7,12/11/19,1,b,,,,,,
4EV11,EV,2,8,12/11/19,1,b,,,,,,
4EV14,EV,2,9,12/11/19,2,b,,,,,,
4EV15,EV,2,10,12/11/19,n/a,n/a,,,,,,
