days,genotype,proportion,location
0,AZ,0,cage 1
4,AZ,0,cage 1
15,AZ,0,cage 1
27,AZ,0,cage 1
37,AZ,0,cage 1
43,AZ,0,cage 1
52,AZ,0,cage 1
59,AZ,0,cage 1
65,AZ,0,cage 1
74,AZ,0,cage 1
77,AZ,0,cage 1
84,AZ,0,cage 1
90,AZ,0,cage 1
0,BY,1,cage 1
4,BY,1,cage 1
15,BY,1,cage 1
27,BY,1,cage 1
37,BY,1,cage 1
43,BY,1,cage 1
52,BY,1,cage 1
59,BY,1,cage 1
65,BY,1,cage 1
74,BY,1,cage 1
77,BY,1,cage 1
84,BY,1,cage 1
90,BY,1,cage 1
0,CX,1,cage 1
4,CX,1,cage 1
15,CX,1,cage 1
27,CX,1,cage 1
37,CX,1,cage 1
43,CX,1,cage 1
52,CX,1,cage 1
59,CX,1,cage 1
65,CX,1,cage 1
74,CX,1,cage 1
77,CX,1,cage 1
84,CX,1,cage 1
90,CX,1,cage 1
0,DW,1,cage 1
4,DW,1,cage 1
15,DW,1,cage 1
27,DW,1,cage 1
37,DW,1,cage 1
43,DW,1,cage 1
52,DW,1,cage 1
59,DW,1,cage 1
65,DW,1,cage 1
74,DW,1,cage 1
77,DW,1,cage 1
84,DW,1,cage 1
90,DW,1,cage 1
0,EV,1,cage 1
4,EV,1,cage 1
15,EV,1,cage 1
27,EV,1,cage 1
37,EV,1,cage 1
43,EV,1,cage 1
52,EV,1,cage 1
59,EV,1,cage 1
65,EV,1,cage 1
74,EV,1,cage 1
77,EV,1,cage 1
84,EV,1,cage 1
90,EV,1,cage 1
0,FU,1,cage 1
4,FU,1,cage 1
15,FU,1,cage 1
27,FU,1,cage 1
37,FU,1,cage 1
43,FU,1,cage 1
52,FU,1,cage 1
59,FU,1,cage 1
65,FU,0.9,cage 1
74,FU,0.9,cage 1
77,FU,0.9,cage 1
84,FU,0.9,cage 1
90,FU,0.9,cage 1
0,GT,1,cage 1
4,GT,1,cage 1
15,GT,1,cage 1
27,GT,1,cage 1
37,GT,1,cage 1
43,GT,1,cage 1
52,GT,1,cage 1
59,GT,1,cage 1
65,GT,1,cage 1
74,GT,1,cage 1
77,GT,1,cage 1
84,GT,1,cage 1
90,GT,1,cage 1
0,HS,1,cage 1
4,HS,1,cage 1
15,HS,1,cage 1
27,HS,1,cage 1
37,HS,1,cage 1
43,HS,1,cage 1
52,HS,1,cage 1
59,HS,0.9,cage 1
65,HS,0.8,cage 1
74,HS,0.8,cage 1
77,HS,0.8,cage 1
84,HS,0.8,cage 1
90,HS,0.8,cage 1
0,IR,1,cage 1
4,IR,1,cage 1
15,IR,1,cage 1
27,IR,1,cage 1
37,IR,1,cage 1
43,IR,1,cage 1
52,IR,1,cage 1
59,IR,1,cage 1
