genotype,days.alive,censored,location,acclimation
AZ,89,0,field,3
AZ,49,1,field,3
AZ,1,1,field,4
AZ,49,1,field,4
AZ,49,1,field,4
AZ,49,1,field,4
AZ,49,1,field,5
AZ,49,1,field,5
BY,50,1,field,1
BY,50,1,field,1
BY,90,0,field,1
BY,50,1,field,2
BY,90,0,field,2
BY,50,1,field,2
BY,50,1,field,3
BY,90,0,field,3
BY,90,0,field,3
BY,50,1,field,3
BY,50,1,field,3
BY,50,1,field,4
BY,50,1,field,4
BY,90,0,field,4
BY,50,1,field,4
BY,50,1,field,5
BY,50,1,field,5
BY,50,1,field,5
CX,90,0,field,1
CX,83,1,field,1
CX,50,1,field,1
CX,90,0,field,2
CX,50,1,field,2
CX,83,1,field,2
CX,50,1,field,2
CX,50,1,field,3
CX,58,1,field,3
CX,50,1,field,3
CX,90,0,field,4
CX,50,1,field,4
CX,50,1,field,4
CX,50,1,field,4
CX,83,1,field,5
CX,50,1,field,5
DW,90,0,field,1
DW,50,1,field,2
DW,50,1,field,2
DW,90,0,field,2
DW,50,1,field,3
DW,90,0,field,3
DW,50,1,field,4
DW,90,0,field,4
DW,50,1,field,5
DW,50,1,field,5
DW,90,0,field,5
EV,50,1,field,1
EV,90,0,field,1
EV,50,1,field,1
EV,50,1,field,2
EV,50,1,field,2
EV,50,1,field,2
EV,50,1,field,2
EV,50,1,field,3
EV,50,1,field,3
EV,50,1,field,4
EV,50,1,field,4
EV,83,1,field,4
EV,50,1,field,4
EV,50,1,field,4
EV,50,1,field,5
EV,50,1,field,5
FU,49,1,field,1
FU,49,1,field,1
FU,49,1,field,1
FU,49,1,field,2
FU,49,1,field,3
FU,-1,1,field,3
FU,89,0,field,3
FU,49,1,field,3
FU,89,0,field,3
FU,89,0,field,4
FU,89,0,field,4
FU,49,1,field,4
FU,89,0,field,5
FU,89,0,field,5
FU,49,1,field,5
GT,89,0,field,1
GT,49,1,field,1
GT,49,1,field,1
GT,89,0,field,1
GT,89,0,field,1
GT,89,0,field,2
GT,49,1,field,2
GT,49,1,field,2
GT,89,0,field,2
GT,89,0,field,2
GT,49,1,field,3
GT,49,1,field,3
GT,49,1,field,3
GT,49,1,field,3
GT,49,1,field,3
GT,49,1,field,4
GT,49,1,field,4
GT,49,1,field,4
GT,49,1,field,4
GT,-1,1,field,5
GT,49,1,field,5
HS,89,0,field,1
HS,49,1,field,1
HS,89,0,field,1
HS,49,1,field,1
HS,49,1,field,1
HS,49,1,field,2
HS,89,0,field,2
HS,49,1,field,2
HS,89,0,field,2
HS,82,1,field,2
HS,89,0,field,3
HS,89,0,field,3
HS,89,0,field,3
HS,89,0,field,3
HS,89,0,field,4
HS,49,1,field,4
HS,49,1,field,4
HS,89,0,field,5
HS,89,0,field,5
HS,89,0,field,5
HS,89,0,field,5
IR,49,1,field,1
IR,49,1,field,1
IR,49,1,field,1
IR,49,1,field,1
IR,89,0,field,1
IR,57,1,field,2
IR,89,0,field,2
IR,49,1,field,2
IR,89,0,field,2
IR,89,0,field,2
IR,49,1,field,3
IR,89,0,field,3
