genotype,acclimation,date put in cage,date sampled or planted,censored
AZ,1,8/8/19,10/11/19,1
AZ,1,8/8/19,8/27/19,1
AZ,1,8/8/19,8/22/19,1
AZ,1,8/8/19,8/27/19,1
AZ,1,8/8/19,8/22/19,1
AZ,1,8/8/19,8/27/19,1
AZ,1,8/8/19,8/27/19,1
AZ,1,8/8/19,8/27/19,1
AZ,1,8/8/19,8/27/19,1
AZ,1,8/8/19,8/27/19,1
AZ,3,11/4/19,12/12/19,0
AZ,3,11/4/19,12/12/19,0
AZ,3,11/4/19,12/12/19,0
AZ,3,11/4/19,12/12/19,0
AZ,3,11/4/19,12/12/19,0
AZ,4,11/18/19,12/12/19,0
AZ,4,11/18/19,12/12/19,0
AZ,4,11/18/19,12/12/19,0
AZ,4,11/18/19,12/12/19,0
AZ,4,11/18/19,12/12/19,0
AZ,3,11/4/19,12/5/19,0
AZ,3,11/4/19,12/5/19,0
AZ,3,11/4/19,12/5/19,0
AZ,3,11/4/19,12/5/19,0
AZ,3,11/4/19,12/5/19,0
AZ,4,11/18/19,12/5/19,0
AZ,4,11/18/19,12/5/19,0
AZ,4,11/18/19,12/5/19,0
AZ,4,11/18/19,12/5/19,0
AZ,4,11/18/19,12/5/19,0
BY,1,8/8/19,12/11/19,0
BY,1,8/8/19,12/11/19,0
BY,1,8/8/19,12/11/19,0
BY,1,8/8/19,12/11/19,0
BY,1,8/8/19,12/11/19,0
BY,1,8/8/19,12/11/19,0
BY,2,8/22/19,12/11/19,0
BY,2,8/22/19,12/11/19,0
BY,2,8/22/19,12/11/19,0
BY,2,8/22/19,12/11/19,0
BY,2,8/22/19,12/11/19,0
BY,3,11/4/19,12/11/19,0
BY,3,11/4/19,12/11/19,0
BY,3,11/4/19,12/11/19,0
BY,3,11/4/19,12/11/19,0
BY,3,11/4/19,12/11/19,0
BY,3,11/4/19,12/11/19,0
BY,3,11/4/19,12/11/19,0
BY,4,11/18/19,12/11/19,0
BY,4,11/18/19,12/11/19,0
BY,4,11/18/19,12/11/19,0
BY,4,11/18/19,12/11/19,0
BY,4,11/18/19,12/11/19,0
BY,1,8/8/19,12/4/19,0
BY,1,8/8/19,12/4/19,0
BY,1,8/8/19,12/4/19,0
BY,1,8/8/19,12/4/19,0
BY,1,8/8/19,12/4/19,0
BY,2,8/22/19,12/4/19,0
BY,2,8/22/19,12/4/19,0
BY,2,8/22/19,12/4/19,0
BY,2,8/22/19,12/4/19,0
BY,2,8/22/19,12/4/19,0
BY,3,11/4/19,12/5/19,0
BY,3,11/4/19,12/5/19,0
BY,3,11/4/19,12/5/19,0
BY,3,11/4/19,12/5/19,0
BY,3,11/4/19,12/5/19,0
BY,4,11/18/19,12/5/19,0
BY,4,11/18/19,12/5/19,0
BY,4,11/18/19,12/5/19,0
