plug ID,genotype,acclimation,count,date fragmented,date put in cage,sampled or planted,date of mortality,date sampled or planted,bite presence,mortality type,morphology,missing,mortality location,morality: known,mortality: assumed
6AZ16,AZ,1,1,8/2/19,8/8/19,n,10/11/19,,,,g,,c,10/11/19,
6AZ17,AZ,1,2,8/2/19,8/8/19,n,8/27/19,,,,g,,c,8/27/19,
6AZ18,AZ,1,3,8/2/19,8/8/19,n,8/22/19,,,,g,,c,8/22/19,
6AZ19,AZ,1,4,8/2/19,8/8/19,n,8/27/19,,,,g,,c,8/27/19,
6AZ20,AZ,1,5,8/2/19,8/8/19,n,8/22/19,,,,g,,c,8/22/19,
8AZ21,AZ,1,6,8/2/19,8/8/19,n,8/27/19,,,,g,,c,8/27/19,
8AZ22,AZ,1,7,8/2/19,8/8/19,n,8/27/19,,,,g,,c,8/27/19,
8AZ23,AZ,1,8,8/2/19,8/8/19,n,8/27/19,,,,g,,c,8/27/19,
8AZ24,AZ,1,9,8/2/19,8/8/19,n,8/27/19,,,,g,,c,8/27/19,
8AZ25,AZ,1,10,8/2/19,8/8/19,n,8/27/19,,,,g,,c,8/27/19,
0AZ1 ,AZ,5,11,8/2/19,,n,8/27/19,,,,g,,c,8/27/19,
0AZ2,AZ,5,12,8/2/19,,n,8/27/19,,,,g,,c,8/27/19,
0AZ3,AZ,5,13,8/2/19,,n,8/27/19,,,,g,,c,8/27/19,
0AZ4,AZ,5,14,8/2/19,,n,8/27/19,,,,g,,c,8/27/19,
0AZ5,AZ,5,15,8/2/19,,n,8/27/19,,,,g,,c,8/27/19,
2AZ6,AZ,2,16,8/7/19,,n,8/27/19,,,,g,,c,8/27/19,
2AZ7,AZ,2,17,8/7/19,,n,8/27/19,,,,g,,c,8/27/19,
2AZ8,AZ,2,18,8/7/19,,n,8/27/19,,,,g,,c,8/27/19,
2AZ9,AZ,2,19,8/7/19,,n,8/27/19,,,,g,,c,8/27/19,
2AZ10,AZ,2,20,8/7/19,,n,8/27/19,,,,g,,c,8/27/19,
4AZ11,AZ,2,21,8/7/19,,n,8/27/19,,,,g,,c,8/27/19,
4AZ12,AZ,2,22,8/7/19,,n,8/27/19,,,,g,,c,8/27/19,
4AZ13,AZ,2,23,8/7/19,,n,8/27/19,,,,g,,c,8/27/19,
4AZ14,AZ,2,24,8/7/19,,n,8/27/19,,,,g,,c,8/27/19,
4AZ15,AZ,2,25,8/7/19,,n,8/27/19,,,,g,,c,8/27/19,
3AZ1,AZ,3,26,10/23/19,11/4/19,p,1/30/20,12/12/19,a,,g,m,f,,1/30/20
3AZ4,AZ,3,27,10/23/19,11/4/19,p,1/30/20,12/12/19,a,,g,m,f,,1/30/20
3AZ3,AZ,3,28,10/23/19,11/4/19,p,1/30/20,12/12/19,a,,g,m,f,,1/30/20
0AZ10,AZ,3,29,10/23/19,11/4/19,p,,12/12/19,a,,g,,,,
1AZ5,AZ,3,30,10/23/19,11/4/19,p,1/30/20,12/12/19,a,l,g,,f,1/30/20,
2AZ21,AZ,4,31,10/23/19,11/18/19,p,12/13/19,12/12/19,a,l,g,,f,12/13/19,
2AZ1,AZ,4,32,10/23/19,11/18/19,p,12/13/19,12/12/19,a,,g,m,f,,12/13/19
2AZ2,AZ,4,33,10/23/19,11/18/19,p,1/30/20,12/12/19,a,l,g,,f,1/30/20,
2AZ3,AZ,4,34,10/23/19,11/18/19,p,1/30/20,12/12/19,a,l,g,,f,1/30/20,
2AZ7,AZ,4,35,10/23/19,11/18/19,p,1/30/20,12/12/19,a,c,g,,f,1/30/20,
9AZ2,AZ,5,36,10/23/19,,p,1/30/20,12/12/19,a,,g,m,f,,1/30/20
9AZ5,AZ,5,37,10/23/19,,p,1/30/20,12/12/19,a,,g,m,f,,1/30/20
9AZ9,AZ,5,38,10/23/19,,p,1/30/20,12/12/19,a,,g,m,f,,1/30/20
9AZ81,AZ,5,39,10/23/19,,p,1/30/20,12/12/19,a,l,g,,f,1/30/20,
